MAG,Phyllostomus discolor (080613_8),Phyllostomus discolor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080913_7),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
MAG_24,10.792780091431574,0,0,0,0,576.9431039616939,8.049238790607234
MAG_25,0.17581964916633688,0.6835171733438719,0.009388420084558311,0.5979954932121752,0,280.66590794172873,1.3676929045742285
MAG_26,39.15698291339699,24.839366922101686,0.129761848058318,0.09504685970969802,0,201.63403301987785,0.08765628399259336
MAG_27,69.60956986913675,3.3388740723482107,0,0.0746642032128929,0,5567.184654085348,15.786947282523657
MAG_28,0,0,0,0,0,440.51642322078453,0.15517829489048687
MAG_29,201.41448184302874,102.02118800594998,0,0.8018678283536337,0,9273.70699295979,116.02720813263016
MAG_3,1798.0186115398938,23.334305968618963,68.47823844811298,29.001369827267318,0,321.65411362829406,0.021755204182884395
MAG_30,5552.865114262062,167.57794063941324,0.907648742214348,10.003134583988718,43763.5889339924,2752.522438741059,30.556509342302604
MAG_31,10849.911302531375,0.6122892448098356,5.059006326476074,3.35643512689076,0,5229.695308330209,0.9163737776335892
MAG_32,0,0,0,0,0,199.50902190951243,82.5210373001228
MAG_33,2543.6181488555426,2100.289273047634,0.3145708910025894,0,0,856.69121248263275,0.4407650569713427
MAG_34,0,0,0,0,0,486.6524118285175,0
MAG_35,295240.774577759,37060.82247234031,122.14525574070329,164.29578416038055,6721.623214919976,4211.875567415747,5952.026963055392
MAG_36,320.9752769150702,97.62786209315138,0.15240084124292094,1.1589473346371992,0,981.5875657554656,6.0553530258395005
MAG_37,0,0,0,0,0,220.75507367426644,231.62580956329666
MAG_38,0,0,0,0,0,675.3103477977427,0.011890542629220048
MAG_39,0,0,0,0,0,431.33977569895643,1557.4510634259962
MAG_4,5.784526737166576,0,0.04325314313070844,3.25553839314724,0,281.72040546852986,0.019411480137221604
MAG_40,3.808034538542058,28.504648170278706,5.345485626483778,1.6427881688962698,0,214.3886398796277,14.027889604409168
MAG_41,0,0,0,0,0,950.2468850430965,0.7934466947195605
MAG_42,12.145141617966997,0,1.8659398251865267,2.962159143555724,0,1816.6902088948682,1.8817141465121905
MAG_43,83.36057572851253,263.8477101423097,0,0,0,272.8042881624651,0.28370790870282836
