MAG,clean_MAG,contig
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_580810
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1527160
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_38348
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_178697
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_948936
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1189616
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1617777
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_560
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1004840
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1400483
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_936107
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1540372
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1391145
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_781097
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_446362
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_244356
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1236065
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_897630
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_81568
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_581367
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1518272
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1752200
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_472805
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1088326
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1268094
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1175470
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_274129
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_468717
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_538763
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1515029
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_163069
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1112763
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_612604
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_614416
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_k141_1685768
