domain,phylum,host_family,viral_tax,vgroup,lifestyle,num_votu,num_mags,iphop,phase,Prediction
Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,Caudoviricetes; Unclassified order,vgroup_96,lysogenic,2,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Beutenbergiaceae,Caudoviricetes; Unclassified order,vgroup_20,lytic,2,2,FALSE,TRUE,phase
Bacteria,Desulfobacterota,Adiutricaceae,Caudoviricetes; Unclassified order,vgroup_9,lytic,2,2,TRUE,TRUE,both
Bacteria,Actinomycetota,Nakamurellaceae,Caudoviricetes; Unclassified order,vgroup_133,lytic,3,2,TRUE,TRUE,both
Bacteria,Actinomycetota,Streptomycetaceae,Caudoviricetes; Unclassified order,vgroup_186,lytic,3,2,TRUE,TRUE,both
Bacteria,Pseudomonadota,Pasteurellaceae,Caudoviricetes; Unclassified order,vgroup_142,lysogenic,4,2,TRUE,FALSE,iphop
Bacteria,Pseudomonadota,Rhizobiaceae,Unclassified,vgroup_159,lysogenic,4,2,TRUE,FALSE,iphop
Bacteria,Actinomycetota,Micromonosporaceae,Caudoviricetes; Unclassified order,vgroup_121,lytic,4,2,TRUE,TRUE,both
Bacteria,Pseudomonadota,Xanthomonadaceae,Caudoviricetes; Unclassified order,vgroup_197,lytic,4,2,FALSE,TRUE,phase
Bacteria,Actinomycetota,Geodermatophilaceae,Caudoviricetes; Unclassified order,vgroup_92,lytic,4,2,FALSE,TRUE,phase
Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,Caudoviricetes; Unclassified order,vgroup_97,lytic,4,2,TRUE,TRUE,both
Archaea,Thermoproteota,JANJXX01; Unclassified order; Unclassified family,Unclassified,vgroup_100,lytic,40,2,TRUE,FALSE,iphop
