clean_MAG,MAG,OTU_ID,Indicator taxa,host
MAG_56,raw-080813-7-mc_bin_17,mOTU_72226,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_90497,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_173544,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_66586,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_110296,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_145255,*(P) Actinomycetota; (O) Mycobacteriales*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_122815,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_61074,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_51089,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_66887,*(P) Actinomycetota; (O) Mycobacteriales*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_120947,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_9946,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_137449,*(P) Actinomycetota; (S) Corynebacterium nuruki*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_158644,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_80383,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_162139,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_128875,*(P) Methanobacteriota_A; (O) Methanococcales*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_125887,*(P) Halobacteriota; (C) Halobacteria*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_174742,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_63389,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_157145,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_6477,*(P) Bacillota; (F) Enterococcaceae*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_77406,*(P) Bacillota; (S) Streptococcus sp001578805*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_57285,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_52101,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_45219,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_60680,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_121900,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_128423,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_157906,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_80907,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_58,raw-080813-7-mc_bin_24,mOTU_3202,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_59,raw-080813-7-mc_bin_25,mOTU_78955,*(P) Bacillota; (G) Lentilactobacillus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_162135,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_130034,*(P) Halobacteriota; (P) Halobacteriota*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_114468,*(P) Halobacteriota; (C) Halobacteria*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_169952,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_174262,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_63379,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_160003,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_55905,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_71723,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_47709,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_45142,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_61,raw-080813-7-mc_bin_27,mOTU_4512,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_67,raw-080913-2_bin_107,mOTU_177263,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_67,raw-080913-2_bin_107,mOTU_110090,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_168535,*(P) Bacillota; (G) Gemella*,Phyllostomus hastatus
MAG_77,raw-080913-2_bin_123,mOTU_110775,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_141969,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_176664,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_144739,*(P) Fermentibacterota; (G) Aegiribacteria*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_129535,*(P) Aenigmatarchaeota; (G) JAGGXH01*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_128740,*(P) Thermoproteota; (G) Geocrenenecus*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_129528,*(P) Thermoplasmatota; (G) Halarchaeoplasma*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_155230,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_45340,*(P) Aenigmatarchaeota; (G) QMZS01*,Mimon crenulatum
MAG_77,raw-080913-2_bin_123,mOTU_127589,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
