clean_MAG,MAG,OTU_ID,phylum,host_family
MAG_11,raw-080613-5-ph_rerun_bin_24,mOTU_170644,Actinomycetota,Propionibacteriaceae
MAG_175,raw-080913-8-1-ph_bin_17,mOTU_171039,Actinomycetota,Actinomycetaceae
MAG_16,raw-080613-5-ph_rerun_bin_2,mOTU_176866,Thermoproteota,JANJXX01; Unclassified order; Unclassified family
MAG_17,raw-080613-5-ph_rerun_bin_30,mOTU_175486,Bacillota,Staphylococcaceae
MAG_192,raw-080913-8-1-ph_bin_47,mOTU_176072,Pseudomonadota,Pasteurellaceae
MAG_216,raw-080913-8-1-ph_rerun_bin_25,mOTU_174010,Actinomycetota,Mycobacteriaceae
MAG_6,raw-080613-5-ph_rerun_bin_16,mOTU_170595,Actinomycetota,Jatrophihabitantaceae
MAG_21,raw-080613-5-ph_rerun_bin_34,mOTU_170922,Actinomycetota,Nocardioidaceae
MAG_10,raw-080613-5-ph_rerun_bin_22,mOTU_170617,Actinomycetota,Nocardioidaceae
MAG_15,raw-080613-5-ph_rerun_bin_28,mOTU_176836,Bacillota,Staphylococcaceae
MAG_9,raw-080613-5-ph_rerun_bin_20,mOTU_84188,Actinomycetota,Mycobacteriaceae
MAG_42,raw-080613-5-ph_rerun_bin_5,mOTU_170601,Actinomycetota,Propionibacteriaceae
MAG_4,raw-080613-5-ph_rerun_bin_14,mOTU_170560,Actinomycetota,Propionibacteriaceae
MAG_219,raw-080913-8-1-ph_rerun_bin_32,mOTU_176182,Bacillota,Streptococcaceae
MAG_219,raw-080913-8-1-ph_rerun_bin_32,mOTU_20426,Bacillota,Streptococcaceae
MAG_52,raw-080813-7-mc_bin_10,mOTU_175664,Pseudomonadota,Rhizobiaceae
MAG_55,raw-080813-7-mc_bin_13,mOTU_175794,Bacillota,Enterococcaceae
MAG_114,raw-080913-2_bin_54,mOTU_171127,Pseudomonadota,Rhizobiaceae
MAG_82,raw-080913-2_bin_137,mOTU_176671,Bacillota,Gemellaceae
MAG_54,raw-080813-7-mc_bin_12,mOTU_86812,Bacillota,Enterococcaceae
MAG_54,raw-080813-7-mc_bin_12,mOTU_171644,Bacillota,Enterococcaceae
MAG_53,raw-080813-7-mc_bin_11,mOTU_176036,Bacillota,Enterococcaceae
MAG_50,raw-080813-7-mc_bin_7,mOTU_171684,Bacillota,Enterococcaceae
MAG_77,raw-080913-2_bin_123,mOTU_176664,Bacillota,Gemellaceae
MAG_171,raw-080913-2_rerun_bin_94,mOTU_175599,Bacillota,Staphylococcaceae
MAG_55,raw-080813-7-mc_bin_13,mOTU_86809,Bacillota,Enterococcaceae
MAG_230,raw-080913-8-1-ph_rerun_bin_53,mOTU_171440,Bacillota,Streptococcaceae
MAG_56,raw-080813-7-mc_bin_17,mOTU_87200,Actinomycetota,Mycobacteriaceae
MAG_90,raw-080913-2_bin_22,mOTU_87253,Actinomycetota,Mycobacteriaceae
MAG_103,raw-080913-2_bin_41,mOTU_172301,Actinomycetota,Solirubrobacteraceae
MAG_132,raw-080913-2_bin_81,mOTU_171833,Pseudomonadota,Enterobacteriaceae
MAG_157,raw-080913-2_rerun_bin_54,mOTU_171761,Pseudomonadota,Acetobacteraceae
MAG_151,raw-080913-2_rerun_bin_25,mOTU_171804,Pseudomonadota,Enterobacteriaceae
MAG_152,raw-080913-2_rerun_bin_29,mOTU_170611,Actinomycetota,Geodermatophilaceae
MAG_70,raw-080913-2_bin_111,mOTU_171679,Bacillota,Lactobacillaceae
MAG_133,raw-080913-2_bin_82,mOTU_170688,Actinomycetota,Nocardioidaceae
MAG_149,raw-080913-2_rerun_bin_17,mOTU_87157,Actinomycetota,Mycobacteriaceae
MAG_135,raw-080913-2_bin_85,mOTU_170732,Actinomycetota,Nocardioidaceae
MAG_160,raw-080913-2_rerun_bin_59,mOTU_171003,Actinomycetota,Dermatophilaceae
MAG_138,raw-080913-2_bin_89,mOTU_173401,Actinomycetota,Dermatophilaceae
MAG_108,raw-080913-2_bin_46,mOTU_172590,Actinomycetota,Brevibacteriaceae
MAG_92,raw-080913-2_bin_26,mOTU_87118,Actinomycetota,Mycobacteriaceae
MAG_168,raw-080913-2_rerun_bin_86,mOTU_170676,Actinomycetota,Dermatophilaceae
MAG_81,raw-080913-2_bin_130,mOTU_176249,Bacillota,Streptococcaceae
MAG_150,raw-080913-2_rerun_bin_19,mOTU_170444,Pseudomonadota,Enterobacteriaceae
MAG_107,raw-080913-2_bin_45,mOTU_175490,Deinococcota,Trueperaceae
MAG_166,raw-080913-2_rerun_bin_77,mOTU_173382,Pseudomonadota,Xanthomonadaceae
MAG_134,raw-080913-2_bin_84,mOTU_172716,Actinomycetota,Microbacteriaceae
MAG_155,raw-080913-2_rerun_bin_39,mOTU_170917,Actinomycetota,Nocardioidaceae
MAG_115,raw-080913-2_bin_57,mOTU_171038,Actinomycetota,Nakamurellaceae
MAG_109,raw-080913-2_bin_47,mOTU_171062,Actinomycetota,Brevibacteriaceae
MAG_107,raw-080913-2_bin_45,mOTU_171709,Deinococcota,Trueperaceae
MAG_65,raw-080913-2_bin_105,mOTU_170782,Actinomycetota,Propionibacteriaceae
MAG_101,raw-080913-2_bin_3,mOTU_176896,Thermoproteota,JANJXX01; Unclassified order; Unclassified family
MAG_96,raw-080913-2_bin_33,mOTU_170825,Pseudomonadota,Enterobacteriaceae
MAG_158,raw-080913-2_rerun_bin_55,mOTU_170763,Actinomycetota,Nocardioidaceae
MAG_124,raw-080913-2_bin_6,mOTU_173585,Actinomycetota,Streptomycetaceae
MAG_147,raw-080913-2_rerun_bin_111,mOTU_170885,Actinomycetota,Actinomycetaceae
MAG_93,raw-080913-2_bin_27,mOTU_170873,Actinomycetota,Nocardioidaceae
MAG_112,raw-080913-2_bin_51,mOTU_170561,Actinomycetota,Propionibacteriaceae
MAG_88,raw-080913-2_bin_20,mOTU_87252,Actinomycetota,Mycobacteriaceae
MAG_73,raw-080913-2_bin_116,mOTU_173406,Actinomycetota,Dermatophilaceae
MAG_76,raw-080913-2_bin_122,mOTU_171670,Bacillota,Lactobacillaceae
MAG_154,raw-080913-2_rerun_bin_34,mOTU_173778,Actinomycetota,Antricoccaceae
MAG_85,raw-080913-2_bin_15,mOTU_175655,Bacillota_A,Lachnospiraceae
MAG_162,raw-080913-2_rerun_bin_64,mOTU_48735,Actinomycetota,JAAYBP01
MAG_116,raw-080913-2_bin_58,mOTU_171030,Actinomycetota,Dermatophilaceae
MAG_117,raw-080913-2_bin_60,mOTU_48802,Actinomycetota,JAAYBP01
MAG_111,raw-080913-2_bin_50,mOTU_173597,Actinomycetota,Solirubrobacteraceae
MAG_100,raw-080913-2_bin_38,mOTU_175958,Actinomycetota,JAAYBP01
MAG_99,raw-080913-2_bin_37,mOTU_170808,Actinomycetota,JAAYBP01
MAG_85,raw-080913-2_bin_15,mOTU_164112,Bacillota_A,Lachnospiraceae
MAG_125,raw-080913-2_bin_70,mOTU_84205,Actinomycetota,Mycobacteriaceae
MAG_71,raw-080913-2_bin_113,mOTU_176280,Bacillota,Erysipelotrichaceae
MAG_140,raw-080913-2_bin_93,mOTU_173740,Chloroflexota,UBA6265
MAG_142,raw-080913-2_bin_97,mOTU_171839,Bacillota_A,Peptostreptococcaceae
MAG_121,raw-080913-2_bin_65,mOTU_171050,Actinomycetota,Brevibacteriaceae
MAG_169,raw-080913-2_rerun_bin_8,mOTU_163521,Bacillota_A,Lachnospiraceae
MAG_127,raw-080913-2_bin_74,mOTU_172037,Actinomycetota,Propionibacteriaceae
MAG_86,raw-080913-2_bin_18,mOTU_171400,Bacillota,Enterococcaceae
MAG_131,raw-080913-2_bin_80,mOTU_175520,Actinomycetota,Actinomycetaceae
MAG_98,raw-080913-2_bin_36,mOTU_171322,Pseudomonadota,Beijerinckiaceae
MAG_122,raw-080913-2_bin_66,mOTU_87268,Actinomycetota,Mycobacteriaceae
MAG_79,raw-080913-2_bin_128,mOTU_176018,Bacillota,Lactobacillaceae
MAG_111,raw-080913-2_bin_50,mOTU_89136,Actinomycetota,Solirubrobacteraceae
MAG_104,raw-080913-2_bin_42,mOTU_170875,Actinomycetota,Nocardioidaceae
MAG_63,raw-080913-2_bin_100,mOTU_176045,Bacillota,Lactobacillales; Unclassified family
MAG_169,raw-080913-2_rerun_bin_8,mOTU_176722,Bacillota_A,Lachnospiraceae
MAG_91,raw-080913-2_bin_23,mOTU_170886,Actinomycetota,Dermatophilaceae
MAG_163,raw-080913-2_rerun_bin_71,mOTU_170937,Actinomycetota,Actinomycetaceae
MAG_64,raw-080913-2_bin_103,mOTU_171146,Actinomycetota,Microbacteriaceae
MAG_95,raw-080913-2_bin_32,mOTU_170788,Actinomycetota,Geodermatophilaceae
MAG_167,raw-080913-2_rerun_bin_79,mOTU_170638,Actinomycetota,Nocardioidaceae
MAG_146,raw-080913-2_rerun_bin_105,mOTU_171111,Actinomycetota,Microbacteriaceae
MAG_159,raw-080913-2_rerun_bin_56,mOTU_174034,Actinomycetota,Mycobacteriaceae
MAG_157,raw-080913-2_rerun_bin_54,mOTU_31617,Pseudomonadota,Acetobacteraceae
MAG_75,raw-080913-2_bin_119,mOTU_175893,Bacillota_A,Ruminococcaceae
MAG_80,raw-080913-2_bin_12,mOTU_173673,Actinomycetota,Solirubrobacteraceae
