vOTU,domain,realm,kingdom,phylum,class,order,family,viral_tax
080613_5_ph_rerun_k141_7037,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_823461,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_240395,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000476,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_708572,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000566,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1174420,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000125,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1525697,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
cn_080613_5_ph_rerun_000000000236,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_1058337,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
080613_5_ph_rerun_k141_943150,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Caudoviricetes; Unclassified order
